Indicators,Area-Urban,Area-Rural,Sex-Female,Sex-Male,Sex-Both Sex
Total Population (numbers),274967,452178,346692,380453,727145
Population Density (per km2),…,…,...,...,19
Number of household,60394,102607,,,163001
Mean Household Size,4,3.8,,,3.9
Sex Ratio,...,...,...,...,110
Total Dependency Ratio,...,...,...,...,47
Child Dependency Ratio,...,...,...,...,38.3
Old Age dependency Ratio,...,...,...,...,8.7
Median Age,…,…,26.6,27.2,26.9
Aging Index,...,...,22.7,22.8,22.7
Life Expectancy (years),...,...,71.7,68.8,70.2
Mean age at first birth (years),22,21,...,...,21
Crude Birth Rate (per 1000),17.8,14,...,...,15.5
Crude Death Rate (per 1000),5.5,7.5,6.3,7.1,6.7
Child Surivival Rate,96.2,93,...,...,94.1
Total Fertility Rate,1.7,1.8,...,...,1.7
General Fertility Rate,58,57,...,...,57.3
Infant Mortality Rate,12,17.5,13.5,16.6,15.1
Child Mortality Rate,13.3,23.3,18.4,19.4,19
Under Five Mortality Rate,25.3,40.8,31.9,36,34.1
Disability Prevalance Rate,1.1,2.8,2.3,2,2.1
"Source: Population & Housing Census of Bhutan, NSB, 2017",,,,,
