Region - Dzongkhag,2018 - Male ,2018 - Female,2018 - Both Sex ,2019 - Male ,2019 - Female ,2019 - Both Sex,2020 - Male ,2020 - Female,2020 - Total,2021 - Male,2021 - Female,2021 - Both Sex ,2022 - Male,2022 - Female,2022 - Both Sex
Bumthang,9411,8507,17917,9425,8590,18015,9437,8673,18110,9448,8755,18203,9456,8835,18291
Chhukha,36048,33109,69157,36052,33292,69344,36049,33470,69519,36037,33640,69678,36016,33804,69820
Dagana,13048,12075,25122,13140,12140,25280,13232,12204,25435,13321,12264,25586,13410,12322,25732
Gasa,2139,1879,4019,2175,1911,4086,2211,1943,4154,2247,1975,4222,2283,2007,4290
Haa,7454,6236,13690,7473,6252,13725,7491,6267,13757,7507,6279,13786,7522,6290,13812
Lhuentse,7337,6951,14288,7265,6869,14134,7191,6783,13973,7113,6693,13806,7032,6599,13631
Monggar,18108,18909,37017,17965,18912,36877,17816,18909,36726,17661,18901,36561,17498,18886,36384
Paro,24335,22885,47220,24735,23402,48137,25137,23924,49061,25540,24450,49990,25944,24979,50923
Pema Gatshel,11940,11734,23673,11957,11756,23713,11972,11776,23748,11985,11792,23777,11994,11805,23799
Punakha,15306,13840,29146,15535,14022,29557,15766,14203,29968,15997,14383,30380,16228,14562,30790
Samdrup Jongkhar,18321,16739,35060,18311,16725,35037,18297,16707,35004,18279,16682,34961,18256,16652,34908
Samtse,31981,30719,62700,31938,30868,62806,31887,31012,62899,31827,31150,62977,31759,31280,63039
Sarpang,24350,22340,46689,24686,22698,47383,25023,23057,48079,25360,23417,48776,25696,23776,49472
Thimphu,74249,68321,142570,76002,70464,146466,77772,72632,150404,79555,74824,154379,81349,77038,158387
Trashigang,23145,21878,45023,22869,21644,44513,22584,21398,43982,22288,21141,43429,21981,20871,42852
Trashi Yangtse,8660,8531,17191,8599,8479,17078,8535,8423,16958,8468,8363,16831,8397,8300,16697
Trongsa,12312,8216,20528,12754,8352,21105,13200,8488,21688,13652,8624,22276,14108,8761,22869
Tsirang,11664,10989,22653,11803,11130,22934,11943,11271,23214,12082,11411,23493,12220,11551,23771
Wangdue Phodrang,24985,18117,43102,25679,18353,44032,26381,18588,44969,27088,18823,45911,27802,19056,46858
Zhemgang,9118,8491,17609,9039,8411,17450,8956,8327,17283,8870,8239,17109,8781,8145,16926
Total,383909,350465,734374,387402,354270,741672,390877,358054,748931,394325,361806,756131,397732,365519,763251
"Source: Dzongkhag Population Projections, 2017 - 2027, NSB.",,,,,,,,,,,,,,,
