Table 1
"Table 2.12: Details of Maternal & Child Health Care Activities,  2017 - 2021",,,,,,,,,,,,,,,,,,,,
(Number),,,,,,,,,,,,,,,,,,,,
Type of care,2017 ,2018 ,2019 ,2020 ,2021 ,,,,,,,,,,,,,,,
Antenatal care attendence,"26,159 ","23,809 ","25,179 ","25,393 ","25,393 ",,,,,,,,,,,,,,,
Sub Category* 1st visit ,"11,816 ","5,872 ","10,923 ","12,383 ","10,820 ",,,,,,,,,,,,,,,
4th visit,"9,145 ","10,201 ","8,743 ","8,709 ","6,804 ",,,,,,,,,,,,,,,
Sub Category* 8th visit,"5,198 ","7,736 ","5,513 ","4,301 ","3,858 ",,,,,,,,,,,,,,,
Deliveries attended by trained health personnel,"11,134 ","11,658 ","10,156 ","11,139 ","11,470 ",,,,,,,,,,,,,,,
Sub Category* Home,154 ,225 ,112 ,116 ,82 ,,,,,,,,,,,,,,,
Sub Category* Facility,"10,980 ","11,433 ","10,044 ","11,023 ",11388,,,,,,,,,,,,,,,
Post-Natal care attendance,"11,554 ","13,697 ","29,889 ","30,851 ","24,309 ",,,,,,,,,,,,,,,
Sub Category* 1st visit,"4,076 ","4,814 ","4,253 ","5,764 ","5,973 ",,,,,,,,,,,,,,,
Sub Category* 4th visit,"7,478 ","8,883 ","8,007 ","7,990 ","8,926 ",,,,,,,,,,,,,,,
Note:  2nd and 3rd visit has been deleleted as MoH does not compile the records.,,,,,,,,,,,,,,,,,,,,
"Source: Annual Health Bulletin 2022, MoH.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,
