Region - Dzongkhag,Total Admission ,Discharged ,Deaths ,Absconded, Patient days ,Average length of stay
Bumthang,793,601,15,1,2253,62
Chhukha,3888,3370,41,10,14077,181
Dagana,1337,1104,13,1,4342,519
Gasa,32,31,0,0,57,17
Haa,300,236,6,0,1585,20
Lhuentse,587,433,11,1,2037,132
Monggar,4190,4140,92,0,20612,877
Paro,2063,1644,36,7,6160,91
Pema Gatshel,1002,765,17,0,3790,360
Punakha,1265,872,15,2,4954,275
Samdrup Jongkhar,1833,1382,150,1,6514,560
Samtse,3285,2544,182,2,13126,504
Sarpang,3662,3274,78,11,16945,166
Thimphu,13924,13485,388,7,100187,33
Trashigang,3027,2401,66,67,7366.5,280
Trashi Yangtse,906,802,14,0,2572,283
Trongsa,512,373,7,61,1425,78
Tsirang,1300,1084,22,5,5363,68
Wangdue Phodrang,3205,2811,30,7,10881,391
Zhemgang,552,466,5,0,1663,322
Total,47663,41818,1188,183,225909,5219
"Source: Annual Health Bulletin 2020, MoH.",,,,,,
