Table 1
"Table 2.13: Number of Users of Family Planning  Methods by Type,2017-2021",,,,,,,,,,,,,,,,,,,,
Method,2017 ,2018 ,2019 ,2020 ,2021 ,,,,,,,,,,,,,,,
Intra Uterine Device (IUD) 1,"1,777 ","2,362 ","2,425 ","1,506 ","1,733 ",,,,,,,,,,,,,,,
Oral Pills (OCP) 2,"69,572 ","62,299 ","58,868 ","60,608 ","67,554 ",,,,,,,,,,,,,,,
Injection DMPA 3,"84,626 ","84,832 ","80,091 ","79,309 ","78,499 ",,,,,,,,,,,,,,,
Vasectomy,"5,653 ","5,763 ","4,918 ","4,376 ","2,913 ",,,,,,,,,,,,,,,
Tubectomy,"5,377 ","5,500 ","5,194 ","4,586 ","2,451 ",,,,,,,,,,,,,,,
Condoms 4,"873,398 ","983,901 ","1,008,685 ","1,012,811 ","957,115 ",,,,,,,,,,,,,,,
Note: 1IUD = Number inserted,,,,,,,,,,,,,,,,,,,,
2Pills = No. of cycles (1 user is equal to12 or 13 cycles),,,,,,,,,,,,,,,,,,,,
3DMPA =No. of injections (1 user is equal to 12 or 13 cycles),,,,,,,,,,,,,,,,,,,,
4Condoms = No. of pieces distributed,,,,,,,,,,,,,,,,,,,,
"Source: Annual Health Bulletin 2022, MoH.",,,,,,,,,,,,,,,,,,,,
