Table 1
"Table 2.15: Proportion of Household with Improved Water Source and Improved Sanitation Facility by Dzongkhag, 2017",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
   Dzongkhag,Improved Water Source,Improved Sanitation Facility,,,,,,,,,,,,,,,,,
Bumthang, 99.8 , 92.3 ,,,,,,,,,,,,,,,,,
Chhukha, 99.5 , 91.4 ,,,,,,,,,,,,,,,,,
    Sub Category* Phuentsholing Thromde, 100.0 ,100 ,,,,,,,,,,,,,,,,,
    Sub Category* Other than Phuentsholing Thromde, 99.3 , 86.8 ,,,,,,,,,,,,,,,,,
Dagana, 100.0 , 91.1 ,,,,,,,,,,,,,,,,,
Gasa, 100.0 , 77.9 ,,,,,,,,,,,,,,,,,
Haa, 99.5 , 78.9 ,,,,,,,,,,,,,,,,,
Lhuentse, 100.0 , 92.0 ,,,,,,,,,,,,,,,,,
Monggar, 99.5 , 99.0 ,,,,,,,,,,,,,,,,,
Paro, 99.6 , 88.5 ,,,,,,,,,,,,,,,,,
Pema Gatshel, 100.0 , 96.3 ,,,,,,,,,,,,,,,,,
Punakha, 99.4 , 72.6 ,,,,,,,,,,,,,,,,,
Samdrup Jongkhar, 99.3 , 95.4 ,,,,,,,,,,,,,,,,,
    Sub Category* Samdrup Jongkhar Thromde, 99.0 , 91.0 ,,,,,,,,,,,,,,,,,
    Sub Category* Other than Samdrup Jongkhar Thromde, 99.4 , 97.0 ,,,,,,,,,,,,,,,,,
Samtse, 98.9 , 97.6 ,,,,,,,,,,,,,,,,,
Sarpang, 99.6 , 90.5 ,,,,,,,,,,,,,,,,,
Sub Category* Gelephu Thromde, 100.0 , 98.6 ,,,,,,,,,,,,,,,,,
Sub Category* Other than Gelephu Thromde, 99.5 , 88.0 ,,,,,,,,,,,,,,,,,
Thimphu, 99.5 , 97.0 ,,,,,,,,,,,,,,,,,
    Sub Category* Thimphu Thromde, 99.4 , 98.0 ,,,,,,,,,,,,,,,,,
    Sub Category* Other than Thimphu Thromde, 99.8 , 93.0 ,,,,,,,,,,,,,,,,,
Trashigang, 99.6 , 88.7 ,,,,,,,,,,,,,,,,,
Trashi Yangtse, 100.0 , 84.4 ,,,,,,,,,,,,,,,,,
Trongsa, 98.9 , 77.1 ,,,,,,,,,,,,,,,,,
Tsirang, 99.2 , 88.4 ,,,,,,,,,,,,,,,,,
Wangdue Phodrang, 100.0 , 83.1 ,,,,,,,,,,,,,,,,,
Zhemgang, 99.3 , 96.6 ,,,,,,,,,,,,,,,,,
Total, 99.5 , 92.0 ,,,,,,,,,,,,,,,,,
"Source: Bhutan Living Standard Survey 2017, NSB",,,,,,,,,,,,,,,,,,,
